"conferente","tempo_medio_conferencia","tempo","data_entrega"
CONFERENTE / SUPERVISOR ,"00:00:08","00:00:08.6",2026-01-09
CONFERENTE / SUPERVISOR ,"00:01:00","00:01:00.4",2026-01-13
CONFERENTE / SUPERVISOR ,"00:00:04","00:00:04.958333",2026-01-21
CONFERENTE / SUPERVISOR ,"00:00:23","00:00:23.188235",2026-01-22
CONFERENTE / SUPERVISOR ,"00:00:25","00:00:25.578947",2026-01-23
CONFERENTE / SUPERVISOR ,"00:00:58","00:00:58.666667",2026-01-27
CONFERENTE / SUPERVISOR ,"00:00:57","00:00:57.836735",2026-01-28
CONFERENTE / SUPERVISOR ,"00:00:58","00:00:58.489796",2026-01-29
CONFERENTE / SUPERVISOR ,"00:00:28","00:00:28.470588",2026-01-30
CONFERENTE / SUPERVISOR ,"00:00:32","00:00:32.775",2026-02-02
CLAUDENIR RODRIGUES MARTINS,"00:00:05","00:00:05.75",2026-02-03
CONFERENTE / SUPERVISOR ,"00:00:15","00:00:15.083333",2026-02-03
CONFERENTE / SUPERVISOR ,"00:00:06","00:00:06.982759",2026-02-04
CONFERENTE / SUPERVISOR ,"00:00:33","00:00:33.772152",2026-02-05
CONFERENTE / SUPERVISOR ,"00:00:40","00:00:40.388889",2026-02-06
CONFERENTE / SUPERVISOR ,"00:00:15","00:00:15.5",2026-02-09
CONFERENTE / SUPERVISOR ,"00:00:55","00:00:55.952381",2026-02-12
CONFERENTE / SUPERVISOR ,"00:02:02","00:02:02.536585",2026-02-23
CONFERENTE / SUPERVISOR ,"00:01:40","00:01:40.176471",2026-02-24
CONFERENTE / SUPERVISOR ,"00:00:34","00:00:34.730769",2026-08-11
CONFERENTE / SUPERVISOR ,"00:00:59","00:00:59.095238",2026-08-12
CONFERENTE / SUPERVISOR ,"00:01:34","00:01:34.21875",2026-08-13
CONFERENTE / SUPERVISOR ,"00:00:38","00:00:38.016393",2026-08-14
