"delivery_date","caixas_corretas","caixas_erradas"
2026-01-09,112,0
2026-01-13,374,0
2026-01-21,2268,0
2026-01-22,8409,60
2026-01-23,2733,13
2026-01-27,4943,2
2026-01-28,4605,0
2026-01-29,4512,5
2026-01-30,3656,0
2026-02-02,5377,0
2026-02-03,4471,24
2026-02-04,5386,24
2026-02-05,7432,52
2026-02-06,2983,2
2026-02-09,8651,2
2026-02-12,2171,0
2026-02-23,3317,0
2026-02-24,4682,8
2026-08-11,2341,0
2026-08-12,1909,15
2026-08-13,2649,12
2026-08-14,5277,14
2026-08-17,8657,6
2026-08-18,2311,14
2026-08-19,3328,2
2026-08-20,6011,41
2026-08-21,6656,23
2026-08-24,11303,22
2026-08-25,16447,49
2026-08-26,9552,12
2026-08-27,9655,21
2026-08-28,7576,2
2026-08-31,15440,19
2026-09-01,11504,37
2026-09-02,4063,9
2026-09-03,5372,12
2026-09-04,3552,3
2026-09-09,9502,50
2026-09-10,7378,9
2026-09-11,5208,0
2026-09-14,9406,0
2026-09-16,8143,1
2026-09-17,5502,4
2026-09-18,5946,0
